Time,Source IP,Source port,Destination IP,Destination port,Syslog priority,Operation,Protocol
8:52:50,*.2.130-140,4000-5000,*.1.0-10,0-1000,Info,Built,TCP
8:52:50,*.2.130-140,4000-5000,*.1.0-10,43000-44000,Info,Built,TCP
8:52:50,*.2.130-140,4000-5000,*.1.0-10,43000-44000,Info,Built,TCP
8:52:50,*.2.130-140,4000-5000,*.1.0-10,43000-44000,Info,Teardown,TCP
8:52:50,*.2.130-140,4000-5000,*.1.0-10,0-1000,Info,Built,TCP
8:52:50,*.2.130-140,4000-5000,*.1.0-10,43000-44000,Info,Built,TCP
8:52:50,*.2.130-140,4000-5000,*.1.10-20,49000-50000,Info,Teardown,TCP
8:52:50,*.2.130-140,4000-5000,*.1.0-10,49000-50000,Info,Teardown,TCP
8:52:50,*.2.120-130,3000-4000,*.1.0-10,49000-50000,Info,Teardown,TCP
8:52:50,*.2.10-20,1000-2000,*.1.0-10,0-1000,Info,Teardown,TCP
8:52:50,*.2.10-20,1000-2000,*.1.0-10,0-1000,Info,Teardown,TCP
8:52:50,*.2.10-20,1000-2000,*.1.0-10,43000-44000,Info,Teardown,TCP
8:52:50,*.2.70-80,1000-2000,*.1.0-10,0-1000,Info,Teardown,TCP
8:52:50,*.2.70-80,1000-2000,*.1.0-10,43000-44000,Info,Teardown,TCP
8:52:50,*.2.70-80,1000-2000,*.1.0-10,0-1000,Info,Teardown,TCP
8:52:50,*.2.70-80,1000-2000,*.1.0-10,43000-44000,Info,Teardown,TCP
8:52:50,*.2.60-70,1000-2000,*.1.0-10,0-1000,Info,Teardown,TCP
8:52:50,*.2.60-70,1000-2000,*.1.0-10,43000-44000,Info,Teardown,TCP
8:52:50,*.2.80-90,1000-2000,*.1.0-10,43000-44000,Info,Built,TCP
8:52:50,*.2.80-90,1000-2000,*.1.0-10,43000-44000,Info,Teardown,TCP
8:52:50,*.2.110-120,4000-5000,*.1.0-10,49000-50000,Info,Teardown,TCP
8:52:50,*.2.110-120,4000-5000,*.1.10-20,49000-50000,Info,Teardown,TCP
8:52:50,*.2.90-100,1000-2000,*.1.0-10,0-1000,Info,Teardown,TCP
8:52:50,*.2.90-100,1000-2000,*.1.0-10,43000-44000,Info,Teardown,TCP
8:52:50,*.2.80-90,4000-5000,*.1.0-10,0-1000,Info,Teardown,TCP
8:52:50,*.2.80-90,4000-5000,*.1.0-10,43000-44000,Info,Teardown,TCP
8:52:50,*.2.80-90,4000-5000,*.1.0-10,0-1000,Info,Teardown,TCP
8:52:50,*.2.80-90,4000-5000,*.1.0-10,43000-44000,Info,Teardown,TCP
8:52:50,*.2.40-50,2000-3000,*.1.0-10,0-1000,Info,Teardown,TCP
8:52:50,*.2.40-50,2000-3000,*.1.0-10,43000-44000,Info,Teardown,TCP
8:52:50,*.2.120-130,1000-2000,*.1.0-10,0-1000,Info,Teardown,TCP
8:52:50,*.2.120-130,1000-2000,*.1.0-10,43000-44000,Info,Teardown,TCP
8:52:50,*.2.50-60,2000-3000,*.1.0-10,0-1000,Info,Teardown,TCP
8:52:50,*.2.50-60,2000-3000,*.1.0-10,43000-44000,Info,Teardown,TCP
