8,,,
0,15,43,
Lucas,,,
Senn,,,
Dunmire,,,
Gomberg,,,
Burks,,,
Stroffolino,,,
Kolojejchick,,,
Roth,,,
Derthick,,,
Goldstein,,,
Mattis,,,
Chuah,,,
Moore,,,
Harrison,,,
Kerpedjiev,,,
Lucas,Senn,1,
Lucas,Dunmire,1,
Lucas,Gomberg,1,
Lucas,Burks,1,
Lucas,Stroffolino,1,
Lucas,Kolojejchick,1,
Lucas,Roth,1,
Senn,Dunmire,1,
Senn,Gomberg,1,
Senn,Burks,1,
Senn,Stroffolino,1,
Senn,Kolojejchick,1,
Senn,Roth,1,
Dunmire,Gomberg,1,
Dunmire,Burks,1,
Dunmire,Stroffolino,1,
Dunmire,Kolojejchick,1,
Dunmire,Roth,1,
Gomberg,Burks,1,
Gomberg,Stroffolino,1,
Gomberg,Kolojejchick,1,
Gomberg,Roth,1,
Burks,Stroffolino,1,
Burks,Kolojejchick,1,
Burks,Roth,1,
Stroffolino,Kolojejchick,1,
Stroffolino,Roth,1,
Kolojejchick,Roth,1,
Kolojejchick,Derthick,1,
Kolojejchick,Goldstein,1,
Kolojejchick,Mattis,1,
Kolojejchick,Chuah,1,
Roth,Derthick,1,
Roth,Goldstein,2,
Roth,Mattis,1,
Roth,Chuah,2,
Roth,Moore,1,
Roth,Harrison,1,
Roth,Kerpedjiev,1,
Goldstein,Mattis,1,
Mattis,Chuah,1,
Chuah,Kerpedjiev,1,
Moore,Harrison,1,
1,2,1,
Senn,,,
Higgins,,,
Senn,Higgins,1,
2,2,1,
Myers,,,
Goldberg,,,
Myers,Goldberg,1,
3,1,0,
Kosbie,,,
4,4,6,
Gershon,,,
Ruh,,,
Windstead,,,
Levasseur,,,
Gershon,Ruh,1,
Gershon,Windstead,1,
Gershon,Levasseur,1,
Ruh,Windstead,1,
Ruh,Levasseur,1,
Windstead,Levasseur,1,
5,7,7,
Steffen,,,
Wilks,,,
Eick,,,
Keahey,,,
Ball,,,
Wills,,,
Becker,,,
Steffen,Eick,1,
Wilks,Eick,1,
Wilks,Becker,1,
Eick,Keahey,1,
Eick,Ball,1,
Eick,Wills,1,
Eick,Becker,1,
6,1,0,
Robertson,,,
7,1,0,
Cleveland,,,
Lucas,0,Senn,1
Lucas,0,Higgins,1
Goldstein,0,Myers,2
Goldstein,0,Goldberg,2
Myers,2,Kosbie,3
Chuah,0,Eick,5
Gershon,4,Eick,5
Keahey,5,Robertson,6
Becker,5,Cleveland,7
