3,,,
0,1,0,
Landay,,,
1,2,1,
Kuchinsky,,,
Baldonado,,,
Kuchinsky,Baldonado,1,
2,13,53,
Su,,,
Chen,,,
Wisnovsky,,,
Paxson,,,
Taylor,,,
Stonebraker,,,
Woodruff,,,
Aiken,,,
Lin,,,
Chu,,,
Spalding,,,
Ercegovac,,,
Olston,,,
Su,Chen,1,
Su,Wisnovsky,1,
Su,Paxson,1,
Su,Taylor,1,
Su,Stonebraker,1,
Su,Woodruff,1,
Su,Aiken,1,
Chen,Wisnovsky,1,
Chen,Paxson,1,
Chen,Taylor,1,
Chen,Stonebraker,3,
Chen,Woodruff,3,
Chen,Aiken,3,
Wisnovsky,Paxson,1,
Wisnovsky,Taylor,1,
Wisnovsky,Stonebraker,1,
Wisnovsky,Woodruff,1,
Paxson,Aiken,1,
Paxson,Taylor,1,
Paxson,Stonebraker,1,
Paxson,Woodruff,1,
Paxson,Aiken,1,
Taylor,Stonebraker,1,
Taylor,Woodruff,1,
Taylor,Aiken,1,
Stonebraker,Woodruff,5,
Stonebraker,Aiken,4,
Stonebraker,Lin,1,
Stonebraker,Chu,1,
Stonebraker,Spalding,1,
Stonebraker,Ercegovac,1,
Stonebraker,Olston,1,
Woodruff,Aiken,4,
Woodruff,Lin,1,
Woodruff,Chu,1,
Woodruff,Spalding,1,
Woodruff,Ercegovac,1,
Woodruff,Olston,3,
Aiken,Lin,1,
Aiken,Chu,1,
Aiken,Spalding,1,
Aiken,Ercegovac,1,
Aiken,Olston,1,
Lin,Chu,1,
Lin,Spalding,1,
Lin,Ercegovac,1,
Lin,Olston,1,
Chu,Spalding,1,
Chu,Ercegovac,1,
Chu,Olston,1,
Spalding,Ercegovac,1,
Spalding,Olston,1,
Ercegovac,Olston,1,
Landay,0,Stonebraker,2
Landay,0,Woodruff,2
Kuchinsky,1,Woodruff,2
Baldonado,1,Woodruff,2
