PI Department,Sponsor,Year,Total
Biology - A&S,NSF,2011,295868
Biology - A&S,NSF,2011,1723
Biology - A&S,NIH,2012,1899334
Biology - A&S,NIH,2011,12813
Biomedical Engineering,USDA,2013,414678
Biomedical Engineering,USDA,2013,425559
Biomedical Engineering,USAF,2010,140000
Biomedical Engineering,ONR,2010,5057004
Biomedical Engineering,NSF,2009,15820926
Biomedical Engineering,NSF,2010,2193793
Biomedical Engineering,NSF,2008,1244169
Biomedical Engineering,NSF,2009,670834
Biomedical Engineering,NSF,2012,599121
Biomedical Engineering,NSF,2010,581859
Biomedical Engineering,NSF,2011,553902
Biomedical Engineering,NSF,2010,523526
Biomedical Engineering,NSF,2010,523006
Biomedical Engineering,NSF,2010,461512
Biomedical Engineering,NSF,2010,438867
Biomedical Engineering,NSF,2009,421179
Biomedical Engineering,NSF,2009,338253
Biomedical Engineering,NSF,2011,184069
Biomedical Engineering,NSF,2008,150000
Biomedical Engineering,NSF,2010,90844
Biomedical Engineering,NSF,2013,408562
Biomedical Engineering,NSF,2012,627560
Biomedical Engineering,NSF,2011,12000
Biomedical Engineering,NIH,2013,2569893
Biomedical Engineering,NIH,2013,905252
Biomedical Engineering,NIH,2013,825012
Biomedical Engineering,NIH,2012,159310
Biomedical Engineering,NIH,2012,101446
Biomedical Engineering,NIH,2013,52190
Biomedical Engineering,NIH,2010,7987182
Biomedical Engineering,NIH,2010,4414632
Biomedical Engineering,NIH,2010,3937209
Biomedical Engineering,NIH,2009,3306746
Biomedical Engineering,NIH,2010,3082852
Biomedical Engineering,NIH,2013,3047980
Biomedical Engineering,NIH,2008,3040006
Biomedical Engineering,NIH,2010,3013591
Biomedical Engineering,NIH,2010,3001832
Biomedical Engineering,NIH,2010,2889146
Biomedical Engineering,NIH,2009,2683620
Biomedical Engineering,NIH,2009,2358228
Biomedical Engineering,NIH,2010,2349868
Biomedical Engineering,NIH,2009,2184996
Biomedical Engineering,NIH,2009,1895335
Biomedical Engineering,NIH,2007,1894008
Biomedical Engineering,NIH,2009,1877070
Biomedical Engineering,NIH,2011,1871026
Biomedical Engineering,NIH,2010,1869521
Biomedical Engineering,NIH,2011,1867077
Biomedical Engineering,NIH,2011,1867075
Biomedical Engineering,NIH,2012,1866590
Biomedical Engineering,NIH,2010,1847754
Biomedical Engineering,NIH,2010,1806053
Biomedical Engineering,NIH,2010,1702401
Biomedical Engineering,NIH,2008,1618691
Biomedical Engineering,NIH,2008,1498103
Biomedical Engineering,NIH,2010,1288727
Biomedical Engineering,NIH,2011,1284750
Biomedical Engineering,NIH,2009,1077420
Biomedical Engineering,NIH,2009,904390
Biomedical Engineering,NIH,2012,827239
Biomedical Engineering,NIH,2012,825364
Biomedical Engineering,NIH,2012,424909
Biomedical Engineering,NIH,2010,412887
Biomedical Engineering,NIH,2010,412887
Biomedical Engineering,NIH,2010,412885
Biomedical Engineering,NIH,2010,412855
Biomedical Engineering,NIH,2010,399398
Biomedical Engineering,NIH,2010,381597
Biomedical Engineering,NIH,2010,379115
Biomedical Engineering,NIH,2009,371520
Biomedical Engineering,NIH,2009,323142
Biomedical Engineering,NIH,2009,320046
Biomedical Engineering,NIH,2010,207999
Biomedical Engineering,NIH,2012,162861
Biomedical Engineering,NIH,2008,153500
Biomedical Engineering,NIH,2011,152766
Biomedical Engineering,NIH,2011,150000
Biomedical Engineering,NIH,2011,149380
Biomedical Engineering,NIH,2010,148866
Biomedical Engineering,NIH,2011,146070
Biomedical Engineering,NIH,2009,90827
Biomedical Engineering,NIH,2010,46001
Biomedical Engineering,NIH,2012,1125172
Biomedical Engineering,NIH,2011,301245
Biomedical Engineering,NIH,2012,155743
Biomedical Engineering,NIH,2012,155742
Biomedical Engineering,NIH,2011,99724
Biomedical Engineering,NASA,2008,283868
Biomedical Engineering,Helen Hay Whitney Foundation,2011,154500
Biomedical Engineering,Firmenich SA,2012,112055
Biomedical Engineering,DOD,2009,7144442
Biomedical Engineering,DOD,2009,4500002
Biomedical Engineering,DOD,2008,998660
Biomedical Engineering,DOD,2007,684205
Biomedical Engineering,DOD,2010,7372268
Biomedical Engineering,DOD,2008,2582796
Biomedical Engineering,DOD,2008,271403
Biomedical Engineering,DOD,2008,224053
Biomedical Engineering,DARPA,2012,500000
Biomedical Engineering,DARPA,2009,10037650
Biomedical Engineering,DARPA,2010,4235635
Biomedical Engineering,DARPA,2010,3107941
Biomedical Engineering,DARPA,2008,2857406
Biomedical Engineering,DARPA,2009,1935000
Biomedical Engineering,DARPA,2008,1125001
Biomedical Engineering,DARPA,2010,350000
Biomedical Engineering,DARPA,2009,106728
Biomedical Engineering,AHA,2009,195526
Biomedical Engineering,AHA,2011,102809
Biomedical Engineering,AFRL,2010,140000
Biomedical Engineering,AFOSR,2009,450002
Biomedical Engineering,ACS,2010,160218
CEEO,NSF,2012,449837
Chemical Engineering,NSF,2012,2000000
Chemical Engineering,NSF,2011,1999959
Chemical Engineering,NSF,2008,1100012
Chemical Engineering,NSF,2010,600318
Chemical Engineering,NSF,2011,482805
Chemical Engineering,NSF,2009,400001
Chemical Engineering,NSF,2008,400000
Chemical Engineering,NSF,2009,358376
Chemical Engineering,NSF,2012,349153
Chemical Engineering,NSF,2011,101411
Chemical Engineering,NSF,2007,435609
Chemical Engineering,NSF,2012,388190
Chemical Engineering,NIH,2011,399730
Chemical Engineering,NIH,2011,2703892
Chemical Engineering,NIH,2011,2421977
Chemical Engineering,NIH,2010,1658740
Chemical Engineering,NIH,2009,1434981
Chemical Engineering,NIH,2009,900172
Chemical Engineering,NIH,2010,412855
Chemical Engineering,NIH,2010,404303
Chemical Engineering,NIH,2010,97373
Chemical Engineering,NIH,2011,1814625
Chemical Engineering,NIEHS,2012,398494
Chemical Engineering,NIEHS,2013,398212
Chemistry - A&S,DOE,2008,1282154
Civil & Envir Engineering,USGS,2011,78539
Civil & Envir Engineering,USGS,2010,75778
Civil & Envir Engineering,USGS,2009,74549
Civil & Envir Engineering,USGS,2012,145773
Civil & Envir Engineering,USGS,2012,77476
Civil & Envir Engineering,USGS,2011,73368
Civil & Envir Engineering,USGS,2011,72775
Civil & Envir Engineering,SERDP,2009,1145888
Civil & Envir Engineering,NSF,2011,385297
Civil & Envir Engineering,NSF,2009,2936302
Civil & Envir Engineering,NSF,2011,2499689
Civil & Envir Engineering,NSF,2009,1997983
Civil & Envir Engineering,NSF,2010,1770898
Civil & Envir Engineering,NSF,2009,892790
Civil & Envir Engineering,NSF,2011,584215
Civil & Envir Engineering,NSF,2009,559945
Civil & Envir Engineering,NSF,2009,417686
Civil & Envir Engineering,NSF,2009,405889
Civil & Envir Engineering,NSF,2012,397691
Civil & Envir Engineering,NSF,2008,396776
Civil & Envir Engineering,NSF,2010,362973
Civil & Envir Engineering,NSF,2011,333545
Civil & Envir Engineering,NSF,2011,333195
